都道府県,A,B
北海道,-188,-1751
青森,-439,-1225
岩手,-474,-1361
宮城,1142,-604
秋田,-204,-645
山形,32,-653
福島,-804,-3500
茨城,202,-2376
栃木,98,-1700
群馬,-51,-1837
埼玉,-1044,-5040
千葉,636,-2302
東京,26645,13295
神奈川,5009,-260
新潟,-1534,-1969
富山,222,-432
石川,911,217
福井,503,-164
山梨,325,-250
長野,-87,-550
岐阜,542,-587
静岡,-402,-2187
愛知,1357,-727
三重,391,-553
滋賀,541,-149
京都,4006,1291
大阪,7703,4393
兵庫,3642,77
奈良,1236,-403
和歌山,1093,193
鳥取,216,-237
島根,168,-411
岡山,2232,815
広島,849,-356
山口,-88,-965
徳島,649,268
香川,476,183
愛媛,317,-659
高知,452,-120
福岡,5111,2684
佐賀,820,176
長崎,716,49
熊本,1671,-229
大分,573,-234
宮崎,-8,-472
鹿児島,762,-182
沖縄,1021,99
